WADMKK,WADMKC,WADMKD,ada_permukiman_kumuh,jumlah_bangunan_permukiman_kumuh,jumlah_korban_bencana_2023,jumlah_sd_negeri,jumlah_sd_swasta,jumlah_mi_negeri,jumlah_mi_swasta,jumlah_rumah_sakit,jumlah_puskesmas_rawat_inap,jumlah_puskesmas_tanpa_rawat_inap,ruang_terbuka_hijau,ruang_terbuka_non_hijau,gotong_royong_umum,gotong_royong_musibah,jalan_darat_dilalui_roda4,ada_angkutan_umum,jumlah_perkelahian_kelompok,jumlah_perkelahian_suku
JAKARTA UTARA,KOJA,RAWA BADAK SELATAN,1,1308,0,6,5,1,1,0,0,0,1,1,1,1,1,1,0,0
JAKARTA UTARA,KOJA,TUGU SELATAN,1,3924,0,2,2,0,1,0,0,0,1,1,1,1,1,1,0,0
JAKARTA UTARA,KOJA,TUGU UTARA,1,27,0,13,4,0,3,3,0,0,1,2,1,1,1,1,0,0
JAKARTA UTARA,KOJA,LAGOA,1,59,0,6,6,0,4,0,0,0,1,2,1,1,1,1,0,0
JAKARTA UTARA,KOJA,RAWA BADAK UTARA,1,1559,0,24,3,0,3,0,0,0,1,2,1,1,1,1,0,0
JAKARTA UTARA,KOJA,KOJA,1,15,0,0,5,0,1,1,0,0,1,2,1,1,1,1,0,0
JAKARTA UTARA,KELAPA GADING,KELAPA GADING BARAT,1,362,3,1,14,0,0,1,0,1,1,1,2,2,1,1,0,0
JAKARTA UTARA,KELAPA GADING,KELAPA GADING TIMUR,2,0,0,2,2,0,0,0,0,0,1,1,2,1,1,1,0,0
JAKARTA UTARA,KELAPA GADING,PEGANGSAAN DUA,2,0,0,5,12,0,1,1,0,1,1,1,1,1,1,1,0,0
JAKARTA UTARA,CILINCING,SUKAPURA,1,3,0,4,5,0,0,2,0,0,1,2,1,1,1,1,0,0
JAKARTA UTARA,CILINCING,ROROTAN,2,0,0,4,3,1,7,0,0,0,1,2,1,1,1,1,0,0
JAKARTA UTARA,CILINCING,MARUNDA,1,50,50,3,5,1,1,0,0,0,1,1,1,1,1,1,0,0
JAKARTA UTARA,CILINCING,CILINCING,1,419,800,8,5,0,2,0,0,1,1,2,1,1,1,1,1,0
JAKARTA UTARA,CILINCING,SEMPER TIMUR,1,3838,43,4,11,0,1,1,0,0,0,0,1,1,1,1,0,0
JAKARTA UTARA,CILINCING,SEMPER BARAT,1,80,0,8,8,0,0,0,0,0,1,2,1,1,1,3,0,0
JAKARTA UTARA,CILINCING,KALIBARU,1,7466,0,5,6,0,11,0,0,1,2,1,1,1,1,1,0,0
